"Time [s]","Committed size","Free size","Used size"
198.31,34816000,32033000,2783000
199.31,34816000,31953000,2863000
200.31,34816000,31873000,2943000
201.31,34816000,31790000,3026000
202.31,34816000,31711000,3105000
203.31,34816000,31631000,3185000
204.31,34816000,31551000,3265000
205.31,34816000,31471000,3345000
206.33,34816000,31388000,3428000
207.33,34816000,31307000,3509000
208.34,34816000,31227000,3589000
209.34,34816000,31147000,3669000
