"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: maxDepth","Param: minDepth","Param: paramCount","Param: repeat","Param: stackDepth"
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,2674.973557,1007.257377,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,826.024238,366.835007,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,882.876014,9.974979,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,1095.779587,448.545562,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,2708.037834,1024.121293,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,780.464514,12.862274,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,927.366528,474.186370,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,1089.406152,409.196746,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.OneShot.yield","avgt",1,5,2761.775532,1021.307841,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,1843.840356,8.359101,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,3606.693242,36.769745,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,7300.401306,83.296401,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,37692.119248,340.151859,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,1866.477237,24.648794,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,3590.269735,31.919500,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,7266.580311,22.893871,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,38870.727234,215.342545,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,1863.397327,35.822453,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,3604.282353,14.962509,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,7425.285244,124.268277,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.OneShot.yieldAfterEachCall","avgt",1,5,38190.902002,182.767694,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,3495.195248,50.153507,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,6912.977978,148.904644,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,13866.376300,133.360499,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,70387.386260,6059.588356,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,3611.891416,21.444756,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,7163.409127,97.063009,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,14110.894930,141.402392,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,71859.637832,1224.659346,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,3707.596937,63.680344,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,7208.202838,43.952239,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,14381.267492,192.600709,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeAndAfterEachCall","avgt",1,5,72809.642130,6064.654667,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,2048.500464,8.418085,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,3979.400740,103.877189,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,7929.634303,47.845195,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,39925.658301,432.873772,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,2083.022059,184.367372,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.OneShot.yieldBeforeEachCall","avgt",1,5,4143.449619,36.727700,"ns/op",,,2,,10
