,Time [s],Committed size,Free size,Used size
3,3.01,258,251,7
4,4.01,258,161,97
5,5.01,258,215,43
6,6.01,373,274,99
7,7.01,373,266,106
8,8.01,373,240,133
9,9.01,373,219,153
10,10.01,373,189,184
11,11.01,373,162,211
12,12.02,309,202,108
13,13.02,309,245,65
14,14.02,145,77,68
15,15.02,308,205,103
16,16.02,308,198,110
17,17.02,308,214,94
18,18.02,308,242,67
19,19.02,308,273,35
20,20.02,308,141,167
21,21.02,308,148,161
22,22.02,147,78,70
23,23.02,256,238,18
24,24.02,256,119,137
25,25.02,256,168,88
26,26.02,256,191,65
27,27.03,256,186,70
28,28.03,256,204,52
29,29.03,256,228,28
30,30.03,256,102,154
31,31.03,256,150,106
32,32.03,256,157,99
33,33.03,181,59,122
34,34.03,151,60,90
35,35.03,262,138,124
36,36.03,281,187,94
37,37.03,281,216,64
38,38.03,286,167,118
39,39.03,286,235,51
40,40.03,286,131,154
41,41.03,286,196,89
42,42.03,286,261,25
43,43.03,286,131,154
44,44.04,286,222,63
45,45.04,286,271,15
46,46.04,286,184,101
47,47.04,142,117,26
48,48.04,301,210,91
49,49.04,301,190,111
50,50.04,301,189,112
51,51.04,301,160,141
52,52.04,301,154,147
53,53.04,301,145,156
54,54.04,301,120,181
55,55.04,301,121,181
56,56.04,301,264,37
57,57.04,301,242,59
58,58.04,301,143,158
59,59.04,301,140,161
60,60.04,301,120,181
61,61.04,301,290,11
62,62.04,301,248,53
63,63.05,301,240,61
64,64.05,301,206,95
65,65.05,301,233,68
66,66.05,301,230,71
67,67.05,301,218,83
68,68.05,301,233,68
69,69.05,301,201,100
70,70.05,301,197,104
71,71.05,301,170,131
72,72.05,301,149,152
73,73.05,301,289,12
74,74.05,301,123,178
75,75.05,301,274,27
76,76.05,301,203,98
77,77.05,301,205,96
78,78.06,301,187,115
79,79.06,293,213,80
80,80.06,293,163,129
81,81.06,293,246,47
82,82.06,293,199,94
83,83.06,293,140,153
84,84.06,293,260,33
85,85.06,293,180,113
86,86.06,293,282,11
87,87.06,275,184,91
88,88.06,331,257,74
89,89.06,331,237,94
90,90.06,331,188,143
91,91.06,331,147,183
92,92.06,262,121,141
93,93.06,262,192,70
94,94.06,262,235,27
95,95.06,262,144,118
96,96.07,262,199,63
97,97.07,262,110,152
98,98.07,262,158,104
99,99.07,262,224,38
100,100.07,315,284,31
101,101.07,315,180,135
102,102.07,315,236,79
103,103.07,228,105,123
104,104.07,330,156,174
105,105.07,330,214,115
106,106.07,330,273,57
107,107.07,330,217,113
108,108.07,330,183,147
109,109.07,330,134,196
110,110.07,330,275,55
111,111.07,330,235,95
112,112.07,330,187,143
113,113.07,330,164,166
114,114.07,330,312,18
115,115.07,330,301,29
116,116.07,312,260,52
117,117.08,312,138,175
118,118.08,312,202,110
119,119.08,312,273,40
120,120.08,312,131,182
121,121.08,312,187,125
122,122.08,312,232,81
123,123.08,312,297,15
124,124.08,312,158,155
125,125.08,312,217,96
126,126.08,312,196,116
127,127.08,312,252,60
128,128.08,312,115,197
129,129.08,312,157,155
130,130.08,312,241,72
131,131.08,312,116,196
132,132.08,312,163,149
133,133.08,312,221,91
134,134.08,312,116,196
135,135.08,312,176,136
136,136.08,312,237,75
137,137.08,312,294,18
138,138.09,312,173,139
139,139.09,312,235,77
140,140.09,312,125,187
141,141.09,312,181,131
142,142.09,312,226,86
143,143.09,312,287,26
144,144.09,312,131,181
145,145.09,312,182,131
146,146.09,285,134,150
147,147.09,285,200,85
148,148.09,285,254,30
149,149.09,285,133,152
