"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,0,0,1,0
1.0,1,0,0,1,0
2.0,1,0,0,1,0
3.01,1,0,0,1,0
4.01,1,0,0,1,0
5.01,1,0,0,1,0
6.01,1,0,0,1,0
7.01,1,0,0,1,0
8.02,2,2,0,0,0
9.02,3,2,0,1,0
10.02,2,2,0,0,0
11.02,2,1,0,1,0
12.02,4,0,0,4,0
13.02,1,0,0,1,0
14.03,49,0,0,49,0
15.03,49,0,0,49,0
16.03,49,0,0,49,0
17.03,2,2,0,0,0
18.03,2,1,0,1,0
19.04,2,1,0,1,0
20.04,3,2,0,1,0
21.04,2,1,0,1,0
22.04,2,1,0,1,0
23.04,1,0,0,1,0
24.04,1,1,0,0,0
25.04,1,1,0,0,0
26.04,2,2,0,0,0
27.04,2,2,0,0,0
28.04,2,2,0,0,0
29.04,3,2,0,1,0
30.04,1,1,0,0,0
31.04,1,0,0,1,0
32.05,1,0,0,1,0
33.05,5,5,0,0,0
34.05,2,1,0,1,0
35.05,2,1,0,1,0
36.05,3,2,0,1,0
37.05,2,1,0,1,0
38.05,1,1,0,0,0
39.05,2,1,0,1,0
40.05,2,2,0,0,0
41.05,2,2,0,0,0
42.05,2,2,0,0,0
43.05,2,1,0,1,0
44.05,2,2,0,0,0
45.05,1,0,0,1,0
46.05,1,1,0,0,0
47.06,2,1,0,1,0
48.06,2,2,0,0,0
49.06,1,0,0,1,0
50.06,2,1,0,1,0
51.06,2,2,0,0,0
52.07,2,2,0,0,0
53.07,2,1,0,1,0
54.08,2,2,0,0,0
55.08,2,2,0,0,0
56.08,2,2,0,0,0
57.08,2,1,0,1,0
58.08,1,0,0,1,0
59.08,2,0,0,2,0
60.08,1,0,0,1,0
61.08,2,2,0,0,0
62.08,1,1,0,0,0
63.08,2,2,0,0,0
64.08,2,2,0,0,0
65.08,1,1,0,0,0
66.08,2,2,0,0,0
67.08,2,1,0,1,0
68.08,2,2,0,0,0
69.08,1,1,0,0,0
70.08,2,2,0,0,0
71.08,2,2,0,0,0
72.08,2,2,0,0,0
73.08,1,1,0,0,0
74.09,1,1,0,0,0
75.09,1,1,0,0,0
76.09,2,1,0,1,0
77.09,2,2,0,0,0
78.09,1,1,0,0,0
79.09,3,3,0,0,0
80.09,2,1,0,1,0
81.09,4,4,0,0,0
82.09,1,1,0,0,0
83.09,1,1,0,0,0
84.09,1,1,0,0,0
85.09,2,1,0,1,0
86.09,2,2,0,0,0
87.09,2,2,0,0,0
88.1,2,1,0,1,0
89.1,2,1,0,1,0
90.1,2,2,0,0,0
91.1,2,1,0,1,0
92.1,2,2,0,0,0
93.1,2,1,0,1,0
94.1,2,2,0,0,0
95.1,1,1,0,0,0
96.1,2,1,0,1,0
97.1,2,2,0,0,0
98.1,2,2,0,0,0
99.1,2,1,0,1,0
100.1,2,2,0,0,0
101.11,3,3,0,0,0
102.11,2,1,0,1,0
103.11,1,0,0,1,0
104.11,1,1,0,0,0
105.11,2,2,0,0,0
106.13,2,1,0,1,0
107.13,1,0,0,1,0
108.13,1,0,0,1,0
109.13,2,2,0,0,0
110.13,2,2,0,0,0
111.13,1,1,0,0,0
112.13,2,1,0,1,0
113.13,2,2,0,0,0
114.13,2,1,0,1,0
115.13,1,0,0,1,0
116.13,3,3,0,0,0
117.13,2,2,0,0,0
118.13,2,2,0,0,0
119.13,2,1,0,1,0
120.13,2,1,0,1,0
121.13,1,0,0,1,0
122.13,3,2,0,1,0
123.13,2,2,0,0,0
124.13,49,0,0,49,0
125.13,2,2,0,0,0
126.14,2,2,0,0,0
127.14,2,2,0,0,0
128.14,2,2,0,0,0
129.14,1,0,0,1,0
130.14,2,1,0,1,0
131.14,2,1,0,1,0
132.14,2,1,0,1,0
133.14,1,0,0,1,0
134.14,2,2,0,0,0
135.14,2,0,0,2,0
136.14,1,1,0,0,0
137.14,2,2,0,0,0
138.14,2,2,0,0,0
139.14,1,0,0,1,0
140.14,2,1,0,1,0
141.14,2,1,0,1,0
142.14,2,2,0,0,0
143.14,2,0,0,2,0
144.14,2,1,0,1,0
145.14,2,2,0,0,0
146.14,2,2,0,0,0
147.15,1,1,0,0,0
148.15,2,2,0,0,0
149.15,2,1,0,1,0
150.15,1,1,0,0,0
151.16,1,0,0,1,0
152.16,3,1,0,2,0
153.16,2,2,0,0,0
154.16,2,1,0,1,0
155.16,2,2,0,0,0
156.16,1,1,0,0,0
157.17,2,2,0,0,0
158.17,1,0,0,1,0
159.17,2,1,0,1,0
160.17,2,2,0,0,0
161.17,2,2,0,0,0
162.17,2,1,0,1,0
163.17,1,0,0,1,0
164.17,2,1,0,1,0
165.17,2,1,0,1,0
166.17,3,2,0,1,0
167.17,32,0,0,32,0
168.17,3,3,0,0,0
169.17,2,2,0,0,0
170.17,1,1,0,0,0
171.17,2,2,0,0,0
172.17,2,1,0,1,0
173.17,1,1,0,0,0
174.19,2,1,0,1,0
175.19,2,1,0,1,0
176.19,1,1,0,0,0
177.19,1,1,0,0,0
178.19,2,2,0,0,0
179.19,2,0,0,2,0
180.19,2,2,0,0,0
181.19,2,1,0,1,0
182.19,2,1,0,1,0
183.19,2,1,0,1,0
184.19,2,2,0,0,0
185.2,1,1,0,0,0
186.2,1,0,0,1,0
187.2,2,2,0,0,0
188.2,1,1,0,0,0
189.2,2,2,0,0,0
190.2,2,2,0,0,0
191.2,2,0,0,2,0
192.2,2,1,0,1,0
193.2,1,0,0,1,0
194.2,2,1,0,1,0
195.2,2,1,0,1,0
196.2,2,2,0,0,0
197.2,2,1,0,1,0
198.2,2,2,0,0,0
199.2,2,1,0,1,0
200.2,1,0,0,1,0
201.2,2,2,0,0,0
202.2,2,2,0,0,0
203.2,2,1,0,1,0
204.2,2,1,0,1,0
205.2,2,2,0,0,0
206.21,1,1,0,0,0
207.21,2,2,0,0,0
208.21,2,2,0,0,0
209.21,2,1,0,1,0
210.21,2,2,0,0,0
211.21,2,1,0,1,0
212.21,2,1,0,1,0
213.21,1,0,0,1,0
214.21,2,1,0,1,0
215.21,1,1,0,0,0
216.21,2,2,0,0,0
217.21,2,2,0,0,0
218.21,2,1,0,1,0
219.21,2,2,0,0,0
220.23,3,3,0,0,0
221.23,3,2,0,1,0
222.24,1,0,0,1,0
223.24,2,2,0,0,0
224.24,2,2,0,0,0
225.24,2,0,0,2,0
226.24,2,2,0,0,0
227.27,1,0,0,1,0
228.27,2,2,0,0,0
229.27,1,0,0,1,0
230.27,2,2,0,0,0
231.27,1,0,0,1,0
232.27,2,2,0,0,0
233.27,2,1,0,1,0
234.27,2,2,0,0,0
235.27,2,2,0,0,0
236.29,1,1,0,0,0
237.29,1,1,0,0,0
238.29,2,1,0,1,0
239.3,2,2,0,0,0
240.32,2,1,0,1,0
241.32,2,2,0,0,0
242.32,2,2,0,0,0
243.32,2,2,0,0,0
244.33,1,1,0,0,0
245.33,2,2,0,0,0
246.33,1,0,0,1,0
247.33,3,3,0,0,0
248.33,2,2,0,0,0
249.36,2,1,0,1,0
250.36,2,1,0,1,0
251.36,2,2,0,0,0
252.36,3,3,0,0,0
253.38,2,2,0,0,0
254.38,2,0,0,2,0
255.38,3,1,0,2,0
256.38,2,2,0,0,0
257.38,2,2,0,0,0
258.39,1,0,0,1,0
259.39,2,1,0,1,0
260.39,1,1,0,0,0
261.39,2,1,0,1,0
262.39,2,2,0,0,0
263.39,2,2,0,0,0
264.39,3,3,0,0,0
265.39,2,2,0,0,0
266.39,2,2,0,0,0
267.39,1,0,0,1,0
268.39,2,0,0,2,0
269.39,2,2,0,0,0
270.39,2,2,0,0,0
271.39,3,2,0,1,0
272.39,3,3,0,0,0
273.39,2,2,0,0,0
274.39,2,2,0,0,0
275.39,2,2,0,0,0
276.39,2,2,0,0,0
277.39,2,1,0,1,0
278.39,3,3,0,0,0
279.4,1,0,0,1,0
280.4,2,2,0,0,0
281.4,1,1,0,0,0
282.4,2,2,0,0,0
283.4,2,1,0,1,0
284.4,2,1,0,1,0
285.4,3,3,0,0,0
286.4,2,2,0,0,0
287.4,2,2,0,0,0
288.4,2,2,0,0,0
289.41,1,0,0,1,0
290.41,1,1,0,0,0
291.41,2,1,0,1,0
292.41,2,1,0,1,0
293.41,2,2,0,0,0
294.44,1,1,0,0,0
295.44,2,1,0,1,0
296.44,2,2,0,0,0
297.45,1,0,0,1,0
298.45,2,1,0,1,0
299.45,2,1,0,1,0
300.45,1,0,0,1,0
301.45,1,0,0,1,0
302.45,1,0,0,1,0
303.46,1,0,0,1,0
304.46,1,0,0,1,0
305.47,1,0,0,1,0
306.47,1,0,0,1,0
307.47,1,0,0,1,0
308.49,1,0,0,1,0
309.52,1,0,0,1,0
310.52,1,0,0,1,0
311.52,1,0,0,1,0
312.53,1,0,0,1,0
313.53,1,0,0,1,0
314.56,1,0,0,1,0
315.62,1,0,0,1,0
316.65,1,0,0,1,0
317.65,1,0,0,1,0
