"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,0,0,1,0
1.0,1,0,0,1,0
2.01,1,0,0,1,0
3.01,1,0,0,1,0
4.01,40,3,0,20,17
5.01,85,3,0,65,17
6.01,97,2,0,33,62
7.01,100,2,0,90,8
8.01,101,3,0,61,37
9.01,104,2,0,28,74
10.01,104,2,0,4,98
11.01,104,2,0,75,27
12.02,104,2,0,90,12
13.02,104,2,0,58,44
14.02,104,2,0,24,78
15.02,104,2,0,1,101
16.02,104,2,0,15,87
17.02,104,2,0,70,32
18.02,104,3,0,59,42
19.02,104,2,0,61,41
20.02,104,2,0,71,31
21.02,104,3,0,35,66
22.02,104,2,0,13,89
23.02,104,5,0,71,28
24.02,104,3,0,75,26
25.02,104,3,0,39,62
26.02,104,2,0,5,97
27.03,104,3,0,79,22
28.03,104,2,0,34,68
29.03,104,2,0,63,39
30.03,104,2,0,20,82
31.03,104,2,0,87,15
32.03,104,3,0,25,76
33.03,104,3,0,9,92
34.03,104,3,0,48,53
35.03,104,2,0,9,93
36.03,104,2,0,68,34
37.03,104,2,0,63,39
38.03,104,2,0,16,86
39.03,104,3,0,12,89
40.03,104,2,0,11,91
41.03,104,2,0,7,95
42.03,104,4,0,39,61
43.03,104,3,0,42,59
44.04,104,3,0,32,69
45.04,104,2,0,19,83
46.04,104,3,0,12,89
47.04,104,2,0,29,73
48.04,104,2,0,11,91
49.04,104,3,0,58,43
50.04,104,3,0,11,90
51.04,104,2,0,72,30
52.04,104,3,0,49,52
53.04,104,2,0,30,72
54.04,104,2,0,45,57
55.04,104,2,0,16,86
56.04,104,2,0,31,71
57.04,104,2,0,16,86
58.04,104,3,0,26,75
59.04,104,2,0,50,52
60.04,104,2,0,65,37
61.04,104,2,0,60,42
62.04,104,3,0,48,53
63.05,104,2,0,71,31
64.05,104,2,0,4,98
65.05,104,3,0,1,100
66.05,104,2,0,29,73
67.05,104,2,0,26,76
68.05,104,2,0,24,78
69.05,104,2,0,42,60
70.05,104,3,0,79,22
71.05,104,2,0,35,67
72.05,104,2,0,60,42
73.05,104,3,0,61,40
74.05,104,3,0,34,67
75.05,104,3,0,83,18
76.05,104,3,0,87,14
77.05,104,2,0,1,101
78.06,104,2,0,93,9
79.06,104,3,0,53,48
80.06,104,2,0,8,94
81.06,104,2,0,21,81
82.06,104,2,0,20,82
83.06,104,2,0,33,69
84.06,104,3,0,15,86
85.06,104,3,0,87,14
86.06,104,2,0,9,93
87.06,104,2,0,55,47
88.06,104,2,0,37,65
89.06,104,3,0,11,90
90.06,104,2,0,52,50
91.06,104,2,0,81,21
92.06,104,2,0,92,10
93.06,104,2,0,13,89
94.06,104,2,0,7,95
95.06,104,2,0,37,65
96.07,104,3,0,78,23
97.07,104,2,0,39,63
98.07,104,2,0,52,50
99.07,104,2,0,43,59
100.07,104,2,0,10,92
101.07,104,2,0,63,39
102.07,104,3,0,48,53
103.07,104,2,0,22,80
104.07,104,2,0,1,101
105.07,104,2,0,52,50
106.07,104,3,0,11,90
107.07,104,2,0,49,53
108.07,104,2,0,44,58
109.07,104,2,0,57,45
110.07,104,2,0,84,18
111.07,104,3,0,14,87
112.07,104,2,0,70,32
113.07,104,2,0,30,72
114.07,104,2,0,52,50
115.07,104,2,0,49,53
116.07,104,2,0,28,74
117.08,104,2,0,6,96
118.08,104,3,0,14,87
119.08,104,2,0,80,22
120.08,104,2,0,68,34
121.08,104,2,0,13,89
122.08,104,2,0,35,67
123.08,104,2,0,16,86
124.08,104,4,0,73,27
125.08,104,2,0,40,62
126.08,104,2,0,60,42
127.08,104,2,0,61,41
128.08,104,2,0,84,18
129.08,104,2,0,17,85
130.08,104,2,0,65,37
131.08,104,2,0,20,82
132.08,104,2,0,74,28
133.08,104,2,0,82,20
134.08,104,4,0,54,46
135.08,104,2,0,79,23
136.08,104,2,0,42,60
137.08,104,2,0,42,60
138.09,104,2,0,38,64
139.09,104,2,0,73,29
140.09,104,2,0,47,55
141.09,104,2,0,42,60
142.09,104,2,0,36,66
143.09,104,2,0,41,61
144.09,104,4,0,4,96
145.09,104,2,0,76,26
146.09,104,3,0,13,88
147.09,104,3,0,47,54
148.09,104,2,0,75,27
149.09,104,2,0,1,101
150.09,104,2,0,1,101
151.09,104,2,0,1,101
152.09,104,2,0,1,101
153.09,104,2,0,1,101
154.1,104,2,0,1,101
155.1,104,2,0,1,101
156.1,104,2,0,1,101
157.1,104,2,0,1,101
158.1,104,2,0,1,101
159.1,104,2,0,1,101
160.1,104,2,0,1,101
161.1,104,2,0,1,101
